"variable","I","EI","Z","p_teorico","p_mc"
"NSE",0.529610892926696,-0.0078740157480315,9.44854074671226,3.43587085395485e-21,0
"pobreza",0.530021083925933,-0.0078740157480315,9.4446961644598,3.56436903773748e-21,0
"ece_leng_sc",0.106262507464747,-0.0078740157480315,2.01348682369945,0.0440634397635486,0.05
"ece_mate_sc",0.177361303815582,-0.0078740157480315,3.26224070088899,0.00110535244605232,0.004
